subject,sample_idx,true_label,predicted_label,correct,decision_score
jovita,18,truth,truth,True,-1.0569292562268835
jovita,19,truth,truth,True,-0.8992006577595897
jovita,20,truth,truth,True,-1.0049628675312476
jovita,21,truth,truth,True,-1.7294752858423414
jovita,22,lie,truth,False,-1.369215627488279
jovita,23,lie,lie,True,0.4104442475545891
jovita,24,lie,lie,True,1.2638068965377354
jovita,25,lie,lie,True,2.164913529679567
jovita,26,lie,lie,True,1.811159245512702
jovita,27,lie,lie,True,2.4450935101545714
jovita,28,lie,lie,True,1.1776821939738644
jovita,29,lie,lie,True,1.0639185362074228
jovita,30,lie,lie,True,0.48057931907927437
jovita,31,lie,lie,True,1.1595123599692343
jovita,32,lie,lie,True,1.3655934697586851
jovita,33,truth,truth,True,-2.696643602067386
jovita,34,truth,truth,True,-1.8864667888888695
jovita,35,truth,truth,True,-1.6135968922914155
jovita,36,truth,truth,True,-2.132707248246725
jovita,37,truth,truth,True,-2.051786632454346
jovita,38,truth,truth,True,-2.0711471921584774
jovita,39,truth,truth,True,-2.215059557160362
jovita,40,truth,truth,True,-2.3262335590178855
jovita,41,truth,truth,True,-3.0196036298241338
jovita,42,truth,truth,True,-2.5259578955274664
jovita,43,truth,truth,True,-0.8062684885332794
jovita,44,lie,lie,True,29.21014877918151
jovita,45,lie,lie,True,21.74464845550722
jovita,46,lie,truth,False,-15.52596101880891
jovita,47,lie,truth,False,-15.52596101880891
jovita,48,lie,truth,False,-15.52596101880891
jovita,49,lie,lie,True,9.859810111733843
jovita,50,lie,lie,True,13.499960405932745
jovita,51,lie,lie,True,12.459309627357113
jovita,52,lie,lie,True,12.459309627357113
jovita,53,lie,lie,True,12.459309627357113
jovita,54,lie,lie,True,32.185813204991604
jovita,55,truth,truth,True,-7.389971283362049
jovita,56,truth,truth,True,-14.936174100179016
jovita,57,truth,truth,True,-18.74801771592191
jovita,58,truth,truth,True,-19.65863546792238
jovita,59,truth,truth,True,-7.98343001587751
jovita,60,truth,truth,True,-8.280873705763318
jovita,61,truth,truth,True,-7.96356967105211
jovita,62,truth,truth,True,-8.45818516513072
jovita,63,truth,truth,True,-2.467922641085921
jovita,64,truth,truth,True,-3.2702742229372586
jovita,65,truth,truth,True,-10.541001851780337
